Lectura,Descripción,Temperatura,Bulbo húmedo,Punto de condensación,% HR,CO,CO2,% aire exterior,Velocidad,Flujo de aire,Sello de tiempo
30,,28.2 °C,17.9 °C,12.8 °C,38.7 %,0 ppm,512 ppm,,,,11/02/2025 10:14:05 a. m.
31,,28.2 °C,17.6 °C,12.2 °C,37.5 %,0 ppm,503 ppm,,,,11/02/2025 10:15:05 a. m.
32,,28.3 °C,17.9 °C,12.7 °C,38.4 %,0 ppm,488 ppm,,,,11/02/2025 10:16:05 a. m.
33,,28.4 °C,17.9 °C,12.7 °C,38.2 %,1 ppm,500 ppm,,,,11/02/2025 10:17:05 a. m.
34,,28.3 °C,17.9 °C,12.7 °C,38.3 %,1 ppm,509 ppm,,,,11/02/2025 10:18:05 a. m.
35,,28.3 °C,17.9 °C,12.7 °C,38.4 %,0 ppm,513 ppm,,,,11/02/2025 10:19:05 a. m.
36,,28.4 °C,17.8 °C,12.6 °C,37.9 %,1 ppm,487 ppm,,,,11/02/2025 10:20:05 a. m.
37,,28.4 °C,17.9 °C,12.8 °C,38.3 %,1 ppm,496 ppm,,,,11/02/2025 10:21:05 a. m.
38,,28.4 °C,17.7 °C,12.4 °C,37.5 %,1 ppm,494 ppm,,,,11/02/2025 10:22:05 a. m.
39,,28.4 °C,17.9 °C,12.8 °C,38.3 %,1 ppm,512 ppm,,,,11/02/2025 10:23:05 a. m.
40,,28.5 °C,18.0 °C,12.8 °C,38.1 %,0 ppm,518 ppm,,,,11/02/2025 10:24:05 a. m.
41,,28.1 °C,17.8 °C,12.7 °C,38.8 %,1 ppm,514 ppm,,,,11/02/2025 10:25:05 a. m.
42,,28.2 °C,17.8 °C,12.6 °C,38.4 %,1 ppm,517 ppm,,,,11/02/2025 10:26:05 a. m.
43,,28.1 °C,17.6 °C,12.4 °C,37.9 %,1 ppm,535 ppm,,,,11/02/2025 10:27:05 a. m.
44,,28.1 °C,17.8 °C,12.7 °C,38.8 %,1 ppm,531 ppm,,,,11/02/2025 10:28:05 a. m.
45,,27.8 °C,17.7 °C,12.7 °C,39.4 %,0 ppm,541 ppm,,,,11/02/2025 10:29:05 a. m.
46,,27.9 °C,18.0 °C,13.3 °C,40.5 %,0 ppm,544 ppm,,,,11/02/2025 10:30:05 a. m.
47,,28.0 °C,17.8 °C,12.7 °C,39.0 %,0 ppm,565 ppm,,,,11/02/2025 10:31:05 a. m.
48,,28.1 °C,17.8 °C,12.7 °C,38.8 %,0 ppm,546 ppm,,,,11/02/2025 10:32:05 a. m.
49,,28.1 °C,17.8 °C,12.7 °C,38.8 %,1 ppm,548 ppm,,,,11/02/2025 10:33:05 a. m.
50,,28.0 °C,17.7 °C,12.6 °C,38.8 %,1 ppm,550 ppm,,,,11/02/2025 10:34:05 a. m.
51,,28.0 °C,17.7 °C,12.6 °C,38.7 %,1 ppm,528 ppm,,,,11/02/2025 10:35:05 a. m.
52,,28.1 °C,17.7 °C,12.6 °C,38.5 %,0 ppm,522 ppm,,,,11/02/2025 10:36:05 a. m.
53,,28.1 °C,17.7 °C,12.5 °C,38.3 %,0 ppm,490 ppm,,,,11/02/2025 10:37:05 a. m.
54,,28.0 °C,17.9 °C,12.9 °C,39.5 %,1 ppm,484 ppm,,,,11/02/2025 10:38:05 a. m.
55,,28.1 °C,17.7 °C,12.5 °C,38.0 %,1 ppm,470 ppm,,,,11/02/2025 10:39:05 a. m.
56,,28.2 °C,17.9 °C,12.8 °C,38.8 %,1 ppm,483 ppm,,,,11/02/2025 10:40:05 a. m.
57,,28.2 °C,17.9 °C,12.8 °C,38.8 %,1 ppm,527 ppm,,,,11/02/2025 10:41:05 a. m.
58,,28.2 °C,17.8 °C,12.6 °C,38.1 %,0 ppm,523 ppm,,,,11/02/2025 10:42:05 a. m.
59,,28.0 °C,17.5 °C,12.3 °C,38.0 %,1 ppm,485 ppm,,,,11/02/2025 10:43:05 a. m.
60,,28.0 °C,17.6 °C,12.4 °C,38.2 %,1 ppm,468 ppm,,,,11/02/2025 10:44:05 a. m.
61,,28.1 °C,17.6 °C,12.4 °C,38.0 %,0 ppm,475 ppm,,,,11/02/2025 10:45:05 a. m.
62,,28.2 °C,17.6 °C,12.3 °C,37.9 %,1 ppm,496 ppm,,,,11/02/2025 10:46:05 a. m.
63,,28.2 °C,17.9 °C,12.8 °C,38.9 %,0 ppm,481 ppm,,,,11/02/2025 10:47:05 a. m.
64,,28.2 °C,17.9 °C,12.8 °C,38.8 %,0 ppm,515 ppm,,,,11/02/2025 10:48:05 a. m.
65,,28.2 °C,18.0 °C,12.9 °C,38.8 %,1 ppm,499 ppm,,,,11/02/2025 10:49:05 a. m.
66,,28.3 °C,18.0 °C,12.9 °C,38.8 %,1 ppm,503 ppm,,,,11/02/2025 10:50:05 a. m.
67,,28.2 °C,17.6 °C,12.3 °C,37.5 %,1 ppm,504 ppm,,,,11/02/2025 10:51:05 a. m.
68,,28.3 °C,17.6 °C,12.3 °C,37.2 %,1 ppm,484 ppm,,,,11/02/2025 10:52:05 a. m.
69,,28.3 °C,17.9 °C,12.8 °C,38.5 %,1 ppm,478 ppm,,,,11/02/2025 10:53:05 a. m.
70,,28.4 °C,17.9 °C,12.8 °C,38.4 %,0 ppm,500 ppm,,,,11/02/2025 10:54:05 a. m.
71,,28.4 °C,17.9 °C,12.8 °C,38.5 %,1 ppm,517 ppm,,,,11/02/2025 10:55:05 a. m.
72,,28.4 °C,17.9 °C,12.8 °C,38.3 %,1 ppm,504 ppm,,,,11/02/2025 10:56:05 a. m.
73,,28.5 °C,17.9 °C,12.6 °C,37.7 %,0 ppm,517 ppm,,,,11/02/2025 10:57:05 a. m.
74,,28.4 °C,17.9 °C,12.8 °C,38.2 %,1 ppm,510 ppm,,,,11/02/2025 10:58:05 a. m.
75,,28.4 °C,17.8 °C,12.6 °C,37.8 %,1 ppm,493 ppm,,,,11/02/2025 10:59:05 a. m.
76,,28.5 °C,17.8 °C,12.5 °C,37.4 %,1 ppm,499 ppm,,,,11/02/2025 11:00:05 a. m.
77,,28.4 °C,17.9 °C,12.7 °C,38.2 %,1 ppm,497 ppm,,,,11/02/2025 11:01:05 a. m.
78,,28.4 °C,17.9 °C,12.8 °C,38.4 %,0 ppm,506 ppm,,,,11/02/2025 11:02:05 a. m.
79,,28.5 °C,18.0 °C,12.8 °C,38.2 %,0 ppm,502 ppm,,,,11/02/2025 11:03:05 a. m.
80,,28.5 °C,18.0 °C,12.8 °C,38.2 %,0 ppm,511 ppm,,,,11/02/2025 11:04:05 a. m.
81,,28.5 °C,18.0 °C,12.9 °C,38.3 %,1 ppm,524 ppm,,,,11/02/2025 11:05:05 a. m.
82,,28.6 °C,18.0 °C,12.9 °C,38.0 %,1 ppm,515 ppm,,,,11/02/2025 11:06:05 a. m.
83,,28.6 °C,18.0 °C,12.8 °C,38.0 %,1 ppm,508 ppm,,,,11/02/2025 11:07:05 a. m.
84,,28.5 °C,18.0 °C,12.9 °C,38.1 %,1 ppm,505 ppm,,,,11/02/2025 11:08:05 a. m.
85,,28.5 °C,18.0 °C,12.9 °C,38.1 %,1 ppm,508 ppm,,,,11/02/2025 11:09:05 a. m.
86,,28.6 °C,18.0 °C,12.8 °C,37.9 %,1 ppm,498 ppm,,,,11/02/2025 11:10:05 a. m.
87,,28.6 °C,17.8 °C,12.4 °C,37.0 %,0 ppm,512 ppm,,,,11/02/2025 11:11:05 a. m.
88,,28.3 °C,17.7 °C,12.4 °C,37.7 %,1 ppm,490 ppm,,,,11/02/2025 11:12:05 a. m.
89,,28.5 °C,17.9 °C,12.7 °C,37.8 %,1 ppm,481 ppm,,,,11/02/2025 11:13:05 a. m.
90,,28.5 °C,17.9 °C,12.6 °C,37.6 %,0 ppm,479 ppm,,,,11/02/2025 11:14:05 a. m.
91,,28.5 °C,17.9 °C,12.7 °C,37.8 %,0 ppm,458 ppm,,,,11/02/2025 11:15:05 a. m.
92,,28.5 °C,17.8 °C,12.5 °C,37.3 %,1 ppm,467 ppm,,,,11/02/2025 11:16:05 a. m.
93,,28.5 °C,18.0 °C,12.8 °C,37.9 %,1 ppm,487 ppm,,,,11/02/2025 11:17:05 a. m.
94,,28.6 °C,18.0 °C,12.9 °C,38.1 %,0 ppm,496 ppm,,,,11/02/2025 11:18:05 a. m.
95,,28.6 °C,18.0 °C,12.9 °C,38.2 %,1 ppm,497 ppm,,,,11/02/2025 11:19:05 a. m.
96,,28.6 °C,18.0 °C,12.9 °C,38.1 %,1 ppm,507 ppm,,,,11/02/2025 11:20:05 a. m.
97,,28.5 °C,18.0 °C,12.9 °C,38.4 %,0 ppm,508 ppm,,,,11/02/2025 11:21:05 a. m.
98,,28.5 °C,18.1 °C,13.0 °C,38.5 %,1 ppm,520 ppm,,,,11/02/2025 11:22:05 a. m.
99,,28.5 °C,18.0 °C,12.9 °C,38.5 %,0 ppm,516 ppm,,,,11/02/2025 11:23:05 a. m.
100,,28.6 °C,18.1 °C,13.0 °C,38.4 %,0 ppm,521 ppm,,,,11/02/2025 11:24:05 a. m.
101,,28.6 °C,17.8 °C,12.5 °C,37.1 %,1 ppm,503 ppm,,,,11/02/2025 11:25:05 a. m.
102,,28.5 °C,17.8 °C,12.4 °C,37.0 %,1 ppm,482 ppm,,,,11/02/2025 11:26:05 a. m.
103,,28.6 °C,17.9 °C,12.7 °C,37.6 %,1 ppm,492 ppm,,,,11/02/2025 11:27:05 a. m.
104,,28.6 °C,18.1 °C,13.0 °C,38.4 %,1 ppm,487 ppm,,,,11/02/2025 11:28:05 a. m.
105,,28.6 °C,18.2 °C,13.3 °C,39.1 %,1 ppm,531 ppm,,,,11/02/2025 11:29:05 a. m.
106,,28.7 °C,18.2 °C,13.2 °C,38.8 %,1 ppm,533 ppm,,,,11/02/2025 11:30:05 a. m.
107,,28.7 °C,18.2 °C,13.2 °C,38.7 %,0 ppm,530 ppm,,,,11/02/2025 11:31:05 a. m.
108,,28.8 °C,18.3 °C,13.2 °C,38.4 %,1 ppm,534 ppm,,,,11/02/2025 11:32:05 a. m.
109,,28.8 °C,18.2 °C,13.1 °C,38.2 %,0 ppm,523 ppm,,,,11/02/2025 11:33:05 a. m.
110,,28.8 °C,18.4 °C,13.4 °C,38.9 %,1 ppm,530 ppm,,,,11/02/2025 11:34:05 a. m.
111,,28.7 °C,18.1 °C,12.9 °C,37.9 %,1 ppm,524 ppm,,,,11/02/2025 11:35:05 a. m.
112,,28.7 °C,18.2 °C,13.1 °C,38.5 %,0 ppm,521 ppm,,,,11/02/2025 11:36:05 a. m.
113,,28.7 °C,18.2 °C,13.1 °C,38.5 %,1 ppm,519 ppm,,,,11/02/2025 11:37:05 a. m.
114,,28.7 °C,18.3 °C,13.3 °C,39.0 %,0 ppm,518 ppm,,,,11/02/2025 11:38:05 a. m.
115,,28.5 °C,18.1 °C,13.0 °C,38.6 %,1 ppm,534 ppm,,,,11/02/2025 11:39:05 a. m.
116,,28.7 °C,18.3 °C,13.4 °C,39.3 %,0 ppm,515 ppm,,,,11/02/2025 11:40:05 a. m.
117,,28.7 °C,18.1 °C,13.0 °C,38.1 %,1 ppm,523 ppm,,,,11/02/2025 11:41:05 a. m.
118,,28.7 °C,18.5 °C,13.7 °C,39.9 %,1 ppm,530 ppm,,,,11/02/2025 11:42:05 a. m.
119,,28.7 °C,18.5 °C,13.7 °C,40.1 %,1 ppm,561 ppm,,,,11/02/2025 11:43:05 a. m.
120,,28.7 °C,18.4 °C,13.6 °C,39.8 %,1 ppm,583 ppm,,,,11/02/2025 11:44:05 a. m.
121,,28.7 °C,18.5 °C,13.8 °C,40.1 %,0 ppm,576 ppm,,,,11/02/2025 11:45:05 a. m.
122,,28.4 °C,17.8 °C,12.5 °C,37.7 %,0 ppm,574 ppm,,,,11/02/2025 11:46:05 a. m.
123,,28.5 °C,18.0 °C,12.9 °C,38.5 %,0 ppm,519 ppm,,,,11/02/2025 11:47:05 a. m.
124,,28.6 °C,18.3 °C,13.3 °C,39.2 %,1 ppm,515 ppm,,,,11/02/2025 11:48:05 a. m.
125,,28.7 °C,18.4 °C,13.6 °C,39.5 %,0 ppm,561 ppm,,,,11/02/2025 11:49:05 a. m.
126,,28.7 °C,18.3 °C,13.4 °C,39.2 %,1 ppm,521 ppm,,,,11/02/2025 11:50:05 a. m.
127,,28.7 °C,17.9 °C,12.6 °C,37.5 %,0 ppm,537 ppm,,,,11/02/2025 11:51:05 a. m.
128,,28.8 °C,18.3 °C,13.3 °C,38.7 %,1 ppm,521 ppm,,,,11/02/2025 11:52:05 a. m.
129,,28.8 °C,18.4 °C,13.5 °C,39.1 %,1 ppm,540 ppm,,,,11/02/2025 11:53:05 a. m.
130,,28.7 °C,18.0 °C,12.8 °C,37.5 %,1 ppm,522 ppm,,,,11/02/2025 11:54:05 a. m.
131,,28.7 °C,18.2 °C,13.2 °C,38.7 %,1 ppm,508 ppm,,,,11/02/2025 11:55:05 a. m.
132,,28.8 °C,18.3 °C,13.3 °C,38.8 %,0 ppm,540 ppm,,,,11/02/2025 11:56:05 a. m.
133,,28.8 °C,18.4 °C,13.4 °C,39.0 %,1 ppm,543 ppm,,,,11/02/2025 11:57:05 a. m.
134,,28.8 °C,18.3 °C,13.3 °C,38.8 %,1 ppm,550 ppm,,,,11/02/2025 11:58:05 a. m.
135,,28.8 °C,18.3 °C,13.3 °C,38.7 %,1 ppm,546 ppm,,,,11/02/2025 11:59:05 a. m.
136,,28.9 °C,18.3 °C,13.3 °C,38.5 %,0 ppm,539 ppm,,,,11/02/2025 12:00:05 p. m.
137,,28.9 °C,18.2 °C,13.1 °C,38.1 %,1 ppm,541 ppm,,,,11/02/2025 12:01:05 p. m.
138,,28.8 °C,18.3 °C,13.3 °C,38.7 %,0 ppm,537 ppm,,,,11/02/2025 12:02:05 p. m.
139,,28.8 °C,18.2 °C,13.2 °C,38.6 %,0 ppm,528 ppm,,,,11/02/2025 12:03:05 p. m.
140,,28.8 °C,18.3 °C,13.3 °C,38.8 %,1 ppm,535 ppm,,,,11/02/2025 12:04:05 p. m.
141,,28.7 °C,17.9 °C,12.5 °C,36.9 %,0 ppm,527 ppm,,,,11/02/2025 12:05:05 p. m.
142,,28.8 °C,18.2 °C,13.1 °C,38.2 %,1 ppm,520 ppm,,,,11/02/2025 12:06:05 p. m.
143,,28.8 °C,18.2 °C,13.1 °C,38.3 %,1 ppm,532 ppm,,,,11/02/2025 12:07:05 p. m.
144,,28.8 °C,18.3 °C,13.3 °C,38.7 %,0 ppm,536 ppm,,,,11/02/2025 12:08:05 p. m.
145,,28.8 °C,18.3 °C,13.3 °C,38.8 %,1 ppm,550 ppm,,,,11/02/2025 12:09:05 p. m.
146,,28.7 °C,18.3 °C,13.3 °C,38.9 %,1 ppm,543 ppm,,,,11/02/2025 12:10:05 p. m.
147,,28.8 °C,18.3 °C,13.3 °C,38.8 %,0 ppm,552 ppm,,,,11/02/2025 12:11:05 p. m.
148,,28.8 °C,18.3 °C,13.3 °C,38.7 %,0 ppm,547 ppm,,,,11/02/2025 12:12:05 p. m.
149,,28.9 °C,18.3 °C,13.3 °C,38.5 %,0 ppm,544 ppm,,,,11/02/2025 12:13:05 p. m.
150,,29.0 °C,18.4 °C,13.3 °C,38.5 %,1 ppm,547 ppm,,,,11/02/2025 12:14:05 p. m.
151,,28.9 °C,18.3 °C,13.3 °C,38.5 %,0 ppm,549 ppm,,,,11/02/2025 12:15:05 p. m.
152,,29.0 °C,18.4 °C,13.4 °C,38.5 %,0 ppm,537 ppm,,,,11/02/2025 12:16:05 p. m.
153,,29.0 °C,18.4 °C,13.4 °C,38.5 %,0 ppm,534 ppm,,,,11/02/2025 12:17:05 p. m.
154,,28.9 °C,18.3 °C,13.3 °C,38.4 %,1 ppm,535 ppm,,,,11/02/2025 12:18:05 p. m.
155,,28.9 °C,18.3 °C,13.2 °C,38.1 %,0 ppm,535 ppm,,,,11/02/2025 12:19:05 p. m.
156,,28.9 °C,18.3 °C,13.3 °C,38.4 %,0 ppm,516 ppm,,,,11/02/2025 12:20:05 p. m.
157,,28.9 °C,18.2 °C,13.1 °C,37.8 %,1 ppm,530 ppm,,,,11/02/2025 12:21:05 p. m.
158,,28.9 °C,18.3 °C,13.3 °C,38.5 %,1 ppm,526 ppm,,,,11/02/2025 12:22:05 p. m.
159,,28.9 °C,18.3 °C,13.3 °C,38.6 %,1 ppm,539 ppm,,,,11/02/2025 12:23:05 p. m.
160,,28.9 °C,18.4 °C,13.4 °C,38.7 %,1 ppm,530 ppm,,,,11/02/2025 12:24:05 p. m.
161,,28.9 °C,18.4 °C,13.4 °C,38.7 %,1 ppm,536 ppm,,,,11/02/2025 12:25:05 p. m.
162,,28.8 °C,18.3 °C,13.3 °C,38.9 %,1 ppm,543 ppm,,,,11/02/2025 12:26:05 p. m.
163,,28.8 °C,18.4 °C,13.4 °C,38.9 %,0 ppm,537 ppm,,,,11/02/2025 12:27:05 p. m.
164,,28.8 °C,18.4 °C,13.4 °C,39.0 %,1 ppm,550 ppm,,,,11/02/2025 12:28:05 p. m.
165,,28.8 °C,18.2 °C,13.2 °C,38.5 %,0 ppm,533 ppm,,,,11/02/2025 12:29:05 p. m.
166,,28.9 °C,18.4 °C,13.4 °C,38.7 %,0 ppm,536 ppm,,,,11/02/2025 12:30:05 p. m.
167,,28.8 °C,18.4 °C,13.4 °C,39.0 %,1 ppm,541 ppm,,,,11/02/2025 12:31:05 p. m.
168,,28.9 °C,18.4 °C,13.4 °C,38.9 %,0 ppm,543 ppm,,,,11/02/2025 12:32:05 p. m.
169,,28.9 °C,18.4 °C,13.4 °C,38.9 %,0 ppm,544 ppm,,,,11/02/2025 12:33:05 p. m.
170,,28.9 °C,18.5 °C,13.5 °C,38.9 %,0 ppm,551 ppm,,,,11/02/2025 12:34:05 p. m.
171,,28.9 °C,18.4 °C,13.5 °C,38.9 %,1 ppm,546 ppm,,,,11/02/2025 12:35:05 p. m.
172,,28.9 °C,18.4 °C,13.5 °C,39.0 %,0 ppm,541 ppm,,,,11/02/2025 12:36:05 p. m.
173,,28.9 °C,18.4 °C,13.4 °C,38.8 %,1 ppm,555 ppm,,,,11/02/2025 12:37:05 p. m.
174,,28.9 °C,18.4 °C,13.4 °C,38.8 %,0 ppm,542 ppm,,,,11/02/2025 12:38:05 p. m.
175,,28.9 °C,18.4 °C,13.5 °C,39.1 %,1 ppm,544 ppm,,,,11/02/2025 12:39:05 p. m.
176,,28.9 °C,18.4 °C,13.5 °C,39.1 %,0 ppm,546 ppm,,,,11/02/2025 12:40:05 p. m.
177,,28.9 °C,18.4 °C,13.5 °C,39.0 %,1 ppm,538 ppm,,,,11/02/2025 12:41:05 p. m.
178,,28.9 °C,18.4 °C,13.5 °C,39.0 %,1 ppm,551 ppm,,,,11/02/2025 12:42:05 p. m.
179,,29.0 °C,18.5 °C,13.6 °C,39.1 %,1 ppm,546 ppm,,,,11/02/2025 12:43:05 p. m.
180,,29.0 °C,18.5 °C,13.5 °C,38.8 %,1 ppm,550 ppm,,,,11/02/2025 12:44:05 p. m.
181,,29.0 °C,18.5 °C,13.5 °C,38.8 %,0 ppm,536 ppm,,,,11/02/2025 12:45:05 p. m.
182,,29.1 °C,18.5 °C,13.5 °C,38.7 %,0 ppm,559 ppm,,,,11/02/2025 12:46:05 p. m.
183,,29.1 °C,18.4 °C,13.4 °C,38.6 %,0 ppm,546 ppm,,,,11/02/2025 12:47:05 p. m.
184,,29.1 °C,18.5 °C,13.5 °C,38.6 %,1 ppm,544 ppm,,,,11/02/2025 12:48:05 p. m.
185,,29.1 °C,18.5 °C,13.5 °C,38.6 %,1 ppm,545 ppm,,,,11/02/2025 12:49:05 p. m.
186,,29.1 °C,18.5 °C,13.5 °C,38.6 %,0 ppm,543 ppm,,,,11/02/2025 12:50:05 p. m.
187,,29.0 °C,18.5 °C,13.5 °C,38.7 %,0 ppm,535 ppm,,,,11/02/2025 12:51:05 p. m.
188,,29.1 °C,18.5 °C,13.5 °C,38.5 %,0 ppm,541 ppm,,,,11/02/2025 12:52:05 p. m.
189,,29.0 °C,18.5 °C,13.5 °C,38.5 %,0 ppm,549 ppm,,,,11/02/2025 12:53:05 p. m.
190,,29.0 °C,18.4 °C,13.4 °C,38.5 %,1 ppm,534 ppm,,,,11/02/2025 12:54:05 p. m.
191,,29.0 °C,18.2 °C,13.0 °C,37.6 %,1 ppm,528 ppm,,,,11/02/2025 12:55:05 p. m.
192,,29.1 °C,18.4 °C,13.4 °C,38.2 %,1 ppm,510 ppm,,,,11/02/2025 12:56:05 p. m.
193,,29.1 °C,18.4 °C,13.4 °C,38.3 %,1 ppm,535 ppm,,,,11/02/2025 12:57:05 p. m.
194,,29.0 °C,18.4 °C,13.4 °C,38.5 %,0 ppm,536 ppm,,,,11/02/2025 12:58:05 p. m.
195,,29.1 °C,18.5 °C,13.5 °C,38.5 %,1 ppm,534 ppm,,,,11/02/2025 12:59:05 p. m.
196,,29.2 °C,18.5 °C,13.4 °C,38.1 %,1 ppm,531 ppm,,,,11/02/2025 01:00:05 p. m.
197,,29.1 °C,18.4 °C,13.3 °C,38.1 %,1 ppm,526 ppm,,,,11/02/2025 01:01:05 p. m.
198,,29.2 °C,18.4 °C,13.3 °C,37.8 %,1 ppm,531 ppm,,,,11/02/2025 01:02:05 p. m.
199,,29.1 °C,18.3 °C,13.1 °C,37.5 %,1 ppm,518 ppm,,,,11/02/2025 01:03:05 p. m.
200,,29.1 °C,18.3 °C,13.2 °C,37.7 %,0 ppm,511 ppm,,,,11/02/2025 01:04:05 p. m.
201,,29.1 °C,18.4 °C,13.3 °C,37.9 %,1 ppm,523 ppm,,,,11/02/2025 01:05:05 p. m.
202,,29.2 °C,18.5 °C,13.4 °C,38.0 %,1 ppm,508 ppm,,,,11/02/2025 01:06:05 p. m.
203,,29.2 °C,18.5 °C,13.4 °C,38.1 %,0 ppm,521 ppm,,,,11/02/2025 01:07:05 p. m.
204,,29.2 °C,18.4 °C,13.2 °C,37.5 %,0 ppm,530 ppm,,,,11/02/2025 01:08:05 p. m.
205,,29.2 °C,18.5 °C,13.4 °C,38.2 %,1 ppm,510 ppm,,,,11/02/2025 01:09:05 p. m.
206,,29.2 °C,18.5 °C,13.4 °C,38.2 %,0 ppm,520 ppm,,,,11/02/2025 01:10:05 p. m.
207,,29.1 °C,18.4 °C,13.4 °C,38.2 %,1 ppm,505 ppm,,,,11/02/2025 01:11:05 p. m.
208,,29.1 °C,18.4 °C,13.4 °C,38.3 %,1 ppm,510 ppm,,,,11/02/2025 01:12:05 p. m.
209,,29.0 °C,18.4 °C,13.3 °C,38.3 %,1 ppm,511 ppm,,,,11/02/2025 01:13:05 p. m.
210,,29.2 °C,18.6 °C,13.6 °C,38.5 %,1 ppm,537 ppm,,,,11/02/2025 01:14:05 p. m.
211,,29.2 °C,18.5 °C,13.5 °C,38.3 %,1 ppm,522 ppm,,,,11/02/2025 01:15:05 p. m.
212,,29.1 °C,18.4 °C,13.4 °C,38.3 %,0 ppm,528 ppm,,,,11/02/2025 01:16:05 p. m.
213,,29.2 °C,18.5 °C,13.5 °C,38.3 %,1 ppm,527 ppm,,,,11/02/2025 01:17:05 p. m.
214,,29.2 °C,18.5 °C,13.4 °C,38.2 %,1 ppm,525 ppm,,,,11/02/2025 01:18:05 p. m.
215,,29.2 °C,18.5 °C,13.5 °C,38.4 %,1 ppm,532 ppm,,,,11/02/2025 01:19:05 p. m.
216,,29.3 °C,18.6 °C,13.6 °C,38.2 %,1 ppm,541 ppm,,,,11/02/2025 01:20:05 p. m.
217,,29.2 °C,18.5 °C,13.5 °C,38.3 %,1 ppm,541 ppm,,,,11/02/2025 01:21:05 p. m.
218,,29.3 °C,18.5 °C,13.5 °C,38.4 %,1 ppm,549 ppm,,,,11/02/2025 01:22:05 p. m.
219,,29.3 °C,18.6 °C,13.5 °C,38.1 %,0 ppm,532 ppm,,,,11/02/2025 01:23:05 p. m.
